trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.5, 'e': 0.7680537017920684}",35,13,-52.243611255830636,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.7648421872844884}",30,5,6.401981198522759,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.7616115517620617}",30,0,-160.2801781982352,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
143,False,"{'a': 0.5, 'e': 0.7583618759905082}",20,15,1.3450449595569893,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.7550932412115529}",25,8,-127.73538234569054,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.7518057291408949}",20,0,-32.7143969897475,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.7484994219661651}",20,0,-64.61890551876634,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.7451744023448704}",20,0,-48.74968939648555,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.7418307534023282}",25,0,-86.56295131548784,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.7384685587295879}",25,2,-95.04602362469748,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.7350879023813413}",20,0,-40.82247655078834,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,0,-97.95758053362565,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.7282715431826874}",35,8,-93.08613986707978,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 2}",1
153,False,"{'a': 0.5, 'e': 0.7248360107409052}",20,0,-147.11261145127955,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
154,False,"{'a': 0.5, 'e': 0.7213823574366063}",25,0,-126.68138390832023,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.7179106696109434}",25,17,13.135068856762715,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.7144210340559313}",20,0,-17.624044019088984,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.7109135380122773}",25,0,-25.623232870430535,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.7073882691671998}",30,9,-136.4387670440121,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 3}",1
159,False,"{'a': 0.5, 'e': 0.7038453156522361}",20,0,-26.607543449684552,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.7002847660410396}",25,0,-64.41864382060531,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.6967067093471654}",25,0,-182.05598732951321,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.6931112350218442}",25,0,-71.40144237500509,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.689498432951747}",25,2,-124.69101666472895,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 2}",1
164,False,"{'a': 0.5, 'e': 0.6858683934567373}",20,12,-52.07405492520988,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.6822212072876135}",20,15,7.038913135021378,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.6785569656238398}",25,0,-37.05605140922977,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.674875760071267}",20,0,-60.36670489496305,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.6711776826598423}",20,0,-102.54413453766968,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.6674628258413081}",25,0,-76.88452018282739,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
